"titulo","consultas","fecha"
"TECNICO ASISTENTE  ADMINISTRATIVO","1","2026-04-01"
"REGENCIA DE FARMACIA","1","2026-04-01"
"TECNOLOGO EN TELECOMUNICACIONES","1","2026-04-01"
"TECNOLOGO EN ANALISIS Y DESAROLLO DE SISTEMAS DE INFORMACION","1","2026-04-01"
"TECNICO EN ORGANIZACION DE ARCHIVOS","1","2026-04-01"
"TECNOLOGO EN ANALISIS Y DESAROLLO DE SISTEMAS DE INFORMACION","1","2026-04-01"
"TECNOLOGO EN ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION","1","2026-04-01"
"TECNOLOGO EN ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION","1","2026-04-01"
"TECNÓLOGO EN ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACION","1","2026-04-01"
"TÉCNICO EN AGROINDUSTRIA","1","2026-04-01"
